battery_p;grid_p;load_p;pv_p;timestamp;Selling_price_eur_kwh
0;3,04;3,05;0;2024-01-01 00:00:00;0,10709
0;0,34;0,34;0;2024-01-01 00:15:00;0,10709
0;0,37;0,37;0;2024-01-01 00:30:00;0,10709
0;0,37;0,37;0;2024-01-01 00:45:00;0,10709
0;2,4;2,4;0;2024-01-01 01:00:00;0,104
0;2,66;2,66;0;2024-01-01 01:15:00;0,104
0;2,72;2,72;0;2024-01-01 01:30:00;0,104
0,02;3,22;3,24;0;2024-01-01 01:45:00;0,104
0;3,17;3,17;0;2024-01-01 02:00:00;0,1
0;2,35;2,35;0;2024-01-01 02:15:00;0,1
0;3,01;3,01;0;2024-01-01 02:30:00;0,1
0,02;3,05;3,08;0;2024-01-01 02:45:00;0,1
0,01;2,4;2,41;0;2024-01-01 03:00:00;0,08566
0;3,02;3,02;0;2024-01-01 03:15:00;0,08566
0;3,08;3,08;0;2024-01-01 03:30:00;0,08566
0;0,36;0,36;0;2024-01-01 03:45:00;0,08566
0;0,39;0,39;0;2024-01-01 04:00:00;0,085
0;1,56;1,56;0;2024-01-01 04:15:00;0,085
0;2,93;2,93;0;2024-01-01 04:30:00;0,085
0;3,06;3,06;0;2024-01-01 04:45:00;0,085
0;3,1;3,1;0;2024-01-01 05:00:00;0,08553
0,02;2,31;2,33;0;2024-01-01 05:15:00;0,08553
0;3,01;3,01;0;2024-01-01 05:30:00;0,08553
0,02;3,08;3,09;0;2024-01-01 05:45:00;0,08553
0;2,33;2,33;0;2024-01-01 06:00:00;0,09507
0,02;3,16;3,18;0;2024-01-01 06:15:00;0,09507
0;0,38;0,38;0;2024-01-01 06:30:00;0,09507
0;0,38;0,38;0;2024-01-01 06:45:00;0,09507
0,03;0,37;0,4;0;2024-01-01 07:00:00;0,10407
0;0,35;0,35;0;2024-01-01 07:15:00;0,10407
0;0,39;0,39;0;2024-01-01 07:30:00;0,10407
0;2,79;2,79;0;2024-01-01 07:45:00;0,10407
0;3,11;3,11;0;2024-01-01 08:00:00;0,10695
0,03;2,23;2,27;0,01;2024-01-01 08:15:00;0,10695
0;0,29;0,36;0,07;2024-01-01 08:30:00;0,10695
0;0,2;0,36;0,16;2024-01-01 08:45:00;0,10695
0;0,05;0,35;0,31;2024-01-01 09:00:00;0,10708
-0,05;-0,03;0,34;0,42;2024-01-01 09:15:00;0,10708
-0,17;0,04;0,44;0,57;2024-01-01 09:30:00;0,10708
-0,42;0;0,33;0,75;2024-01-01 09:45:00;0,10708
0;1,58;2,57;1;2024-01-01 10:00:00;0,104
